影院名称,国家编码,在系统商的编码,系统商
湛江市荣基国际影城,44150401,44150401,HuoFengHuang2
广州喜洋时代（洛溪奥园店）,44009201,,HuoFengHuang2
广州喜洋时代（花都星光汇店）,44004401,,HuoFengHuang2
广州喜洋时代（东圃店）,44006201,,ManTianXing
广州摩登电影城,44016301,gz613,ManTianXing
新恒星影城,31100801,,ManTianXing
金逸肇庆星湖店,44126002,,VISTA
金逸上海龙之梦IMAX店,31061301,1020,ManTianXing
金逸东莞虎门店,44100501,1137,VISTA
金逸东莞厚街店,44196002,1136,VISTA
金逸北京中关村店,11061801,1028,VISTA
金逸重庆长寿店,50150101,,VISTA
金逸重庆IMAX店,50080901,,VISTA
金逸镇江常发店,32051901,,VISTA
金逸盐城阜宁店,32082301,,VISTA
金逸邢台天一城店,13092101,,VISTA
金逸武汉中南店,42172101,1034,VISTA
金逸武汉杨汊湖店,42171801,1035,VISTA
金逸影城(武汉吴家山北冰洋店),42172601,1033,VISTA
金逸武汉南湖店,42171301,1030,VISTA
金逸无锡哥伦布店,32033701,1112,VISTA
金逸影城威海青岛路店,37111601,1039,VISTA
金逸天津奥城店,12042701,1041,VISTA
金逸天津鞍山西道店,12040601,1043,VISTA
金逸太原北美店,14011501,1086,VISTA
金逸苏州亿象城IMAX店,32023901,1076,VISTA
金逸沈阳龙之梦IMAX店,21015201,1117,VISTA
金逸沈阳太原街店,21014801,1118,VISTA
金逸沈阳长白店,21015501,1119,VISTA
金逸深圳碧海店,44019301,1061,VISTA
金逸影城（上海中环杜比全景声店）,31050901,1023,VISTA
金逸上海张江店,31124801,1021,VISTA
金逸上海海上海店,31091001,1022,VISTA
金逸泉州环球城店,35051201,1100,VISTA
金逸胶州新向阳店,37036301,1037,VISTA
金逸莆田正荣店,35040502,1108,VISTA
金逸南通如东店,32103101,1115,VISTA
金逸南宁红星店,45010701,1101,VISTA
南昌金逸联发广场店,36011801,,VISTA
金逸昆山蝶湖湾店,32022901,1097,VISTA
金逸呼市凯德MALL店,15090802,1098,VISTA
金逸衡阳中心城店,43041701,1088,VISTA
金逸合肥新地店,34013401,1124,VISTA
金逸合肥明发店,34012301,1125,VISTA
金逸桂林心连心店,45032101,1056,VISTA
金逸大连金州店,21023901,1104,VISTA
金逸鞍山乐购店,21031201,1133,VISTA
金逸重庆地王店,50030801,,VISTA
金逸湛江霞山店,44086001,,VISTA
金逸扬州力宝店,32061101,,VISTA
金逸影城厦门名汇全激光店,35021302,1051,VISTA
金逸厦门海沧店,35022601,1052,VISTA
金逸武汉销品茂IMAX店,42170201,1029,VISTA
金逸武汉武胜路店,42172201,1031,VISTA
金逸武汉王家湾店,42170801,1032,VISTA
金逸无锡中桥店,32032101,1111,VISTA
金逸台山地王店,44121301,1116,VISTA
金逸苏州永捷店,32025301,1074,VISTA
金逸苏州文化宫店,32021401,1077,VISTA
金逸苏州乐园店,32023101,1073,VISTA
金逸深圳沙井店,44221001,1063,VISTA
金逸深圳民治店,44019901,1060,VISTA
金逸深圳龙华店,44220301,1059,VISTA
金逸深圳观澜店,44019401,1062,VISTA
金逸南京玉桥店,32015001,1094,VISTA
金逸南京大观店,32012501,1095,VISTA
金逸嘉兴摩尔店,33031101,1071,VISTA
金逸杭州南宋御街店,33015401,1053,VISTA
金逸海口星海湾店,46020601,1120,VISTA
金逸抚顺乐购店,21040601,1130,VISTA
金逸福州宝龙IMAX店,35011202,1045,VISTA
金逸佛山南庄店,44133801,1002,VISTA
金逸长沙时代店,43011201,,VISTA
金逸安溪宝龙店,35051701,1099,VISTA
金逸北京朝阳大悦城店,11059301,1024,VISTA
金逸北京新都店,11065801,1026,VISTA
金逸常州常发店,32042001,1092,VISTA
金逸常州又一城店,32042301,1091,VISTA
金逸大连福佳店,21022501,1103,VISTA
金逸大连悦泰店,21023501,1105,VISTA
金逸东莞东城店,44104301,1135,VISTA
金逸广州和业店,44006501,1011,VISTA
金逸广州黄埔店,44005901,1010,VISTA
金逸广州维家思店,44001101,1007,VISTA
金逸合肥优购店,34011901,,VISTA
金逸济南大观园店,37020101,,
金逸临沂万兴都店,37082201,1036,VISTA
金逸宁波和丰店,33043601,1121,VISTA
金逸宁波余姚店,33044001,1122,VISTA
金逸秦皇岛海港店,13350601,1132,VISTA
金逸青岛乐购店,暂无编码322,,
